"C0000100","C0000200","C0005400","C0005700","C0007000","C0328600"
132701,1327,2,1987,25,97
132702,1327,1,1994,32,-3
132801,1328,2,1987,25,126
132802,1328,1,1991,29,129
133501,1335,2,1995,35,134
133601,1336,2,1979,19,103
133602,1336,1,1981,20,102
133603,1336,1,1981,21,80
133604,1336,2,1984,24,123
134101,1341,2,1979,20,96
134102,1341,2,1983,24,122
134103,1341,1,1987,28,118
134301,1343,2,1980,18,108
134302,1343,1,1984,23,125
134701,1347,2,2007,45,65
134801,1348,1,1992,30,-7
134802,1348,2,1994,32,-7
134803,1348,2,2002,39,-7
134804,1348,2,2003,41,-7
135201,1352,2,1980,22,142
135202,1352,2,1981,23,151
135203,1352,1,1985,26,130
135601,1356,2,1990,28,109
135602,1356,2,1992,30,-3
135901,1359,2,1987,29,121
135902,1359,2,1993,35,131
135903,1359,2,1996,38,137
136001,1360,2,1988,31,136
136101,1361,1,1983,19,115
136102,1361,2,1995,31,97
136201,1362,2,1993,30,119
136202,1362,2,1994,32,120
136601,1366,2,1997,39,89
137001,1370,1,1991,26,77
137401,1374,1,1996,33,93
137402,1374,2,1998,35,110
137501,1375,2,1987,29,125
137502,1375,2,1992,34,123
137601,1376,2,1975,16,128
137602,1376,1,1983,25,139
137603,1376,1,1985,27,150
137701,1377,1,1980,20,114
137702,1377,1,1985,25,130
137801,1378,2,1990,28,115
138101,1381,1,1982,18,77
138102,1381,2,1985,21,65
138103,1381,2,1989,25,88
138201,1382,1,1989,30,113
138501,1385,1,1990,26,140
138801,1388,1,1983,20,117
138802,1388,1,1984,21,117
138803,1388,1,1986,23,115
138804,1388,2,1987,24,118
138901,1389,2,1988,24,138
138902,1389,1,1989,25,136
139101,1391,1,1977,19,100
139102,1391,2,1979,20,100
139103,1391,2,1980,22,112
139401,1394,1,1980,19,140
139402,1394,2,1982,21,123
139801,1398,1,1978,18,103
139802,1398,2,1985,26,127
139901,1399,2,1987,25,117
139902,1399,2,1992,29,115
140001,1400,2,1980,18,112
140002,1400,2,1981,18,-3
140003,1400,1,1986,23,144
140004,1400,1,1996,33,152
140101,1401,2,1975,14,87
140102,1401,2,1978,17,103
140103,1401,2,1979,19,86
140104,1401,1,1980,19,89
140105,1401,2,1982,21,122
140106,1401,2,1984,23,96
140107,1401,1,1985,25,123
140201,1402,1,1992,28,123
140601,1406,2,1978,17,156
140602,1406,2,1980,19,-3
140603,1406,1,1981,20,142
140604,1406,2,1982,21,160
140605,1406,1,1983,22,166
140606,1406,2,1985,24,142
140701,1407,1,1989,26,-3
140901,1409,1,1983,19,91
140902,1409,1,1986,21,108
141001,1410,1,1980,19,109
141002,1410,2,1991,29,130
141101,1411,1,1983,22,102
141201,1412,1,1982,19,104
141401,1414,1,1976,16,112
141402,1414,2,1977,17,103
141403,1414,2,1981,21,84
141404,1414,2,1983,23,98
141405,1414,1,1984,24,57
141501,1415,1,1977,17,112
141502,1415,2,1979,18,126
141503,1415,2,1981,20,137
141504,1415,1,1982,21,136
141505,1415,1,1983,23,133
141506,1415,1,1984,24,113
141507,1415,2,1986,25,156
141601,1416,1,1979,17,108
141602,1416,1,1981,19,100
141603,1416,1,1982,21,6
141901,1419,2,1980,19,98
141902,1419,1,1983,21,97
142101,1421,2,1984,23,129
142102,1421,2,1987,25,129
142301,1423,1,1978,19,150
142302,1423,1,1979,21,140
142303,1423,2,1981,23,137
142304,1423,2,1983,24,147
142305,1423,1,1987,29,158
142601,1426,2,1998,36,82
143501,1435,2,1986,25,109
143502,1435,1,1988,28,-3
143503,1435,1,1989,29,-2
143601,1436,2,1983,21,97
143602,1436,2,1986,24,111
143603,1436,1,1987,25,94
143701,1437,1,1983,19,64
143702,1437,2,1985,21,97
143703,1437,2,1986,23,65
143801,1438,2,1977,14,109
143802,1438,2,1985,22,141
143803,1438,1,1989,26,141
143901,1439,1,1991,29,93
144001,1440,2,1980,17,107
144002,1440,1,1983,20,137
144003,1440,2,1984,21,127
144004,1440,1,1985,22,123
144201,1442,2,1986,22,138
144202,1442,2,1993,29,-3
144301,1443,2,1983,19,131
144302,1443,2,1985,22,125
144303,1443,1,2004,40,124
144601,1446,1,1983,19,93
144602,1446,1,1989,25,104
144603,1446,1,1994,30,104
145101,1451,2,1979,16,154
145102,1451,2,1981,18,103
145103,1451,2,1992,28,110
145401,1454,1,1983,19,158
145402,1454,2,1985,20,160
145501,1455,2,1973,16,127
145502,1455,1,1976,19,112
145503,1455,2,1977,20,109
145504,1455,2,1978,21,101
145901,1459,2,1983,19,124
146001,1460,1,1988,30,125
146002,1460,1,1988,30,96
146003,1460,2,1992,33,122
146501,1465,1,1984,20,78
146701,1467,2,1996,36,129
146901,1469,1,1975,17,112
146902,1469,1,1977,19,117
146903,1469,1,1982,25,122
147001,1470,2,1978,17,129
147002,1470,1,1979,18,128
147401,1474,1,1981,23,144
147402,1474,2,1984,26,146
147801,1478,1,1985,26,173
147802,1478,1,1987,28,154
148201,1482,1,1976,17,103
148202,1482,2,1978,19,72
148203,1482,2,1979,20,92
148401,1484,1,1981,19,101
148901,1489,1,1980,16,91
148902,1489,1,1984,20,130
148903,1489,1,1987,22,99
148904,1489,2,1990,25,107
149001,1490,2,1983,20,129
149101,1491,2,1980,18,127
149102,1491,2,1983,21,125
149301,1493,1,1981,17,106
149302,1493,1,1986,23,135
149401,1494,2,1980,20,101
149402,1494,1,1984,24,99
149403,1494,1,1985,25,102
149501,1495,2,1977,19,115
149502,1495,2,1981,23,133
149801,1498,1,1989,26,126
149802,1498,2,1993,29,126
149901,1499,2,1983,26,111
149902,1499,1,1986,29,120
150201,1502,1,1990,26,123
150202,1502,2,1992,28,119
150203,1502,2,1996,32,126
150204,1502,2,2001,37,-3
150701,1507,1,1985,23,116
150702,1507,1,1992,31,-3
151201,1512,1,1989,28,121
151202,1512,1,1992,31,97
151701,1517,1,1976,15,124
151702,1517,2,1988,27,110
151703,1517,2,1989,28,104
151901,1519,1,1978,17,101
151902,1519,2,1983,22,110
151903,1519,1,1986,25,114
152201,1522,2,1989,30,124
152401,1524,1,1980,18,116
152402,1524,1,1981,20,102
152403,1524,1,1983,22,137
152501,1525,1,1976,16,101
152502,1525,1,1981,20,-3
152503,1525,1,1982,21,108
152504,1525,2,1984,23,107
152505,1525,1,1992,32,-3
153101,1531,1,1981,19,-2
153201,1532,2,1982,17,125
153202,1532,1,1990,26,105
153203,1532,2,1996,32,110
153204,1532,1,1997,33,59
153301,1533,2,1983,20,98
153302,1533,1,1989,26,124
153401,1534,1,1981,22,102
153402,1534,1,1986,26,108
153801,1538,1,1985,23,95
153802,1538,2,1992,30,105
153901,1539,2,1983,25,117
153902,1539,1,1986,27,117
154001,1540,2,2003,40,-7
154101,1541,1,1983,22,125
154102,1541,1,1985,24,112
154401,1544,2,1979,17,110
154402,1544,1,1981,19,110
154403,1544,1,1991,30,95
154601,1546,2,1981,21,122
154602,1546,1,1983,23,61
154603,1546,2,1986,25,108
154801,1548,1,1978,16,96
154802,1548,2,1983,22,103
154901,1549,1,1982,22,99
154902,1549,2,1984,23,112
154903,1549,1,1986,26,124
154904,1549,1,1988,28,104
155101,1551,1,1980,22,116
155102,1551,2,1981,23,134
155201,1552,1,1977,20,121
155301,1553,2,1988,28,82
